icao,name,city,country,tz,lat,lon
LEVX,Vigo-Peinador Airport,Vigo,Spain,Europe/Madrid,42.2318,-8.62677
LEXJ,Santander Airport,Santander,Spain,Europe/Madrid,43.427059,-3.82
LEZL,Seville San Pablo Airport,Seville,Spain,Europe/Madrid,37.417999,-5.8931
LMML,Luqa Malta International Airport,Luqa,Malta,Europe/Malta,35.857491,14.4775
UMMS,Minsk International Airport,Minsk,Belarus,Europe/Minsk,53.882462,28.030729
ULLI,St. Petersburg Pulkovo Airport,St. Petersburg,Russia,Europe/Moscow,59.800289,30.262501
URKK,Krasnodar International Airport,Krasnodar,Russia,Europe/Moscow,45.034679,39.170528
UUDD,Moscow Domodedovo International Airport,Moscow,Russia,Europe/Moscow,55.408779,37.906311
UUEE,Moscow Sheremetyevo International Airport,Moscow,Russia,Europe/Moscow,55.972641,37.414581
UUWW,Moscow Vnukovo International Airport,Moscow,Russia,Europe/Moscow,55.59153,37.261478
ENBR,Bergen Flesland Airport,Bergen,Norway,Europe/Oslo,60.293381,5.218142
ENGM,Oslo Gardermoen Airport,Oslo,Norway,Europe/Oslo,60.193909,11.10036
ENVA,Trondheim Vaernes Airport,Trondheim,Norway,Europe/Oslo,63.45755,10.92425
ENZV,Stavanger Sola Airport,Stavanger,Norway,Europe/Oslo,58.87677,5.637856
LFBD,Bordeaux Merignac Airport,Bordeaux,France,Europe/Paris,44.828609,-0.71527
LFBO,Toulouse Blagnac Airport,Toulouse,France,Europe/Paris,43.634998,1.367778
LFLL,Lyon Saint Exupery Airport,Lyon,France,Europe/Paris,45.719643,5.089108
LFML,Marseille Provence Airport,Marseille,France,Europe/Paris,43.436661,5.215
LFMN,Nice Cote d'Azur Airport,Nice,France,Europe/Paris,43.665272,7.215
LFOB,Paris Beauvais-Tille Airport,Paris,France,Europe/Paris,49.454441,2.112778
LFPG,Paris Charles de Gaulle Airport,Paris,France,Europe/Paris,49.012516,2.555752
LFPO,Paris Orly Airport,Paris,France,Europe/Paris,48.723331,2.379444
LFQQ,Lille Airport,Lille,France,Europe/Paris,50.563332,3.086944
LFRB,Brest Bretagne Airport,Brest,France,Europe/Paris,48.44722,-4.42166
LFRN,Rennes Saint-Jacques Airport,Rennes,France,Europe/Paris,48.071941,-1.73222
LFRS,Nantes Atlantique Airport,Nantes,France,Europe/Paris,47.15694,-1.60777
LFSB,Basel Mulhouse-Freiburg EuroAirport,Basel,France,Europe/Paris,47.5989,7.5283
LYPG,Podgorica Airport,Podgorica,Montenegro,Europe/Podgorica,42.35939,19.25189
LKPR,Prague Vaclav Havel Airport,Prague,Czechia,Europe/Prague,50.10083,14.26
EVRA,Riga International Airport,Riga,Latvia,Europe/Riga,56.923611,23.971109
LIBD,Bari Karol Wojtyla Airport,Bari,Italy,Europe/Rome,41.138851,16.76059
LIBR,Brindisi Airport,Brindisi,Italy,Europe/Rome,40.657631,17.947029
LICC,Catania Fontanarossa Airport,Catania,Italy,Europe/Rome,37.466782,15.0664
LICJ,Palermo Falcone-Borsellino Airport,Palermo,Italy,Europe/Rome,38.175949,13.09101
LIEA,Alghero Fertilia Airport,Alghero,Italy,Europe/Rome,40.63213,8.290772
LIEE,Cagliari Elmas Airport,Cagliari,Italy,Europe/Rome,39.251461,9.054283
LIEO,Olbia Costa Smeralda Airport,Olbia,Italy,Europe/Rome,40.898659,9.517628
LIMC,Milan Malpensa Airport,Milan,Italy,Europe/Rome,45.6306,8.728111
LIME,Milan Bergamo Il Caravaggio International Airport,Milan,Italy,Europe/Rome,45.673882,9.704166
LIMF,Turin Caselle Airport,Turin,Italy,Europe/Rome,45.20076,7.649631
LIMJ,Genoa Cristoforo Colombo Airport,Genoa,Italy,Europe/Rome,44.41333,8.8375
LIPE,Bologna Guglielmo Marconi Airport,Bologna,Italy,Europe/Rome,44.535439,11.28866
LIPZ,Venice Marco Polo Airport,Venice,Italy,Europe/Rome,45.505268,12.35194
LIRF,Rome Leonardo da Vinci Fiumicino Airport,Rome,Italy,Europe/Rome,41.80447,12.25079
LIRN,Naples Airport,Naples,Italy,Europe/Rome,40.886028,14.29078
LIRP,Pisa Galileo Galilei Airport,Pisa,Italy,Europe/Rome,43.68391,10.39275
LIRQ,Florence Peretola Airport,Florence,Italy,Europe/Rome,43.809952,11.2051
LWSK,Skopje International Airport,Skopje,North Macedonia,Europe/Skopje,41.96162,21.62138
LBSF,Sofia Airport,Sofia,Bulgaria,Europe/Sofia,42.69519,23.40616
ESGG,Gothenburg Landvetter Airport,Gothenburg,Sweden,Europe/Stockholm,57.66283,12.27981
ESKN,Stockholm Skavsta Airport,Stockholm,Sweden,Europe/Stockholm,58.788631,16.91218
ESSA,Stockholm Arlanda Airport,Stockholm,Sweden,Europe/Stockholm,59.653545,17.939816
LOWW,Vienna International Airport,Vienna,Austria,Europe/Vienna,48.110271,16.569719
EYVI,Vilnius International Airport,Vilnius,Lithuania,Europe/Vilnius,54.63707,25.2878
EPGD,Gdansk Lech Walesa Airport,Gdansk,Poland,Europe/Warsaw,54.37756,18.466221
EPKK,Krakow John Paul II International Airport,Krakow,Poland,Europe/Warsaw,50.077728,19.78483
EPKT,Katowice International Airport,Katowice,Poland,Europe/Warsaw,50.474251,19.080009
EPMO,Warsaw Modlin Airport,Warsaw,Poland,Europe/Warsaw,52.451111,20.651667
EPWA,Warsaw Chopin Airport,Warsaw,Poland,Europe/Warsaw,52.165749,20.967119
LDDU,Dubrovnik Airport,Dubrovnik,Croatia,Europe/Zagreb,42.561352,18.26824
LDSP,Split Airport,Split,Croatia,Europe/Zagreb,43.53894,16.29796
LDZA,Zagreb Franjo Tudman Airport,Zagreb,Croatia,Europe/Zagreb,45.742931,16.068769
UKDE,Zaporizhzhia International Airport,Zaporizhzhia,Ukraine,Europe/Zaporozhye,47.867001,35.315689
LSGG,Geneva International Airport,Geneva,Switzerland,Europe/Zurich,46.23806,6.10895
LSZH,Zurich Airport,Zurich,Switzerland,Europe/Zurich,47.464722,8.549167
